gene	coef	hr	p	significant
DSG1	8.212647769250305	3687.2926525504954	3.656601534500869e-55	True
PAM	0.3103108140890566	1.3638489517309602	4.001438370693356e-05	True
YWHAB	0.4076596867744511	1.5032954827748914	8.133219580494318e-05	True
CAPN2	0.3119555306493998	1.3660939423682428	0.0001299945679403	True
KRT79	1.4726538086940892	4.360792507830014	0.0002116136856411	True
PLAU	0.2739489029084019	1.3151476003044298	0.0004366303910077	True
POLR2B	0.3185164073807091	1.375086182561262	0.000578741488965	True
SERINC3	0.3144051591961234	1.3694444671821373	0.0010606045785613	True
HNRNPUL1	-0.3773903118286199	0.6856484049795083	0.0017680288206883	True
DSTN	0.2754059700053855	1.317065255337264	0.0017874249900956	True
ATP5C1	0.3439228804644906	1.4104698565330545	0.0019644901730678	True
TAPBP	-0.3872748427093802	0.678904477336608	0.0026644068345832	True
TGFBI	0.2318763989010744	1.2609638626767818	0.0027039862288131	True
CP	0.2356489194833602	1.2657298590595378	0.0033762611795561	True
SPINT1	0.3192967312036912	1.376159613825694	0.003540696268624	True
SCG2	0.2036205382998487	1.2258329085509017	0.0035811965786601	True
ADAM9	0.2544208858228247	1.2897145126045169	0.0036110759130876	True
CHI3L2	0.2421327080915641	1.2739632468297386	0.0041487683088411	True
DSC2	0.2825046044533045	1.3264478826500248	0.0041897501929844	True
OLFM4	0.1923370343409974	1.2120789603649516	0.0043573439067279	True
MVP	-0.2841435406054516	0.7526585998808466	0.0044791399716368	True
KRT23	0.2625144103513424	1.3001952043032012	0.0047364415091442	True
FSTL1	0.2657615708528875	1.3044240089028185	0.005162193180093	True
ARF4	0.2568034279065065	1.29279097515218	0.0052134288153855	True
TCP1	0.2625186855995442	1.300200762972293	0.005372298552383	True
CALML5	0.2746919467975946	1.3161251758380077	0.0055696755780401	True
NRP1	0.2543633597867382	1.2896403225748732	0.0057480480088345	True
FKBP5	-0.2915205968385237	0.7471266249980407	0.0059950390771122	True
SDC1	0.2544840948201315	1.289796036742173	0.0061688617457109	True
UBE2L6	-0.2583613063845232	0.7723161389390234	0.0062938692150406	True
TMEM87A	0.3048277586425035	1.3563913561964922	0.006589639793439	True
ARMCX3	0.2157718284629288	1.2408192270680267	0.0066011251304414	True
PVRL4	0.2291004198029682	1.257468307389477	0.0069088564308852	True
PSME1	-0.3461005708481162	0.7074413355535666	0.0070782061113566	True
CRISP3	0.1843980718915906	1.202494407057815	0.007626393622728	True
EEF1G	-0.2769972160743569	0.7580566074807992	0.0078859829634705	True
PSME2	-0.3265143653555843	0.7214340113180703	0.0082988619918024	True
CCL5	-0.4435448545029372	0.6417574473773743	0.0085284498472201	True
RTN4	0.1837664989900412	1.2017351839536587	0.0085515056400424	True
PTGES3	0.2132673904296439	1.2377155602961167	0.0087628743337713	True
MUC2	0.2159548488284765	1.2410463430393337	0.008782131711709	True
TAP1	-0.319049619146788	0.7268394832565513	0.0088645735631889	True
EIF4EBP1	0.2751128210204339	1.3166792155808926	0.0093594666138356	True
HLA-H	-0.3860526793809886	0.6797347167330188	0.0094210721432165	True
CFB	-0.309654283537254	0.7337005647474018	0.0096582534151267	True
SRP72	0.2622945349224865	1.2999093547518568	0.0102401051741801	True
CSTB	0.231028962164018	1.2598957282275585	0.0108919179771152	True
CNDP2	-0.2207677339286043	0.8019029135008895	0.0111898203520446	True
YWHAZ	0.2201122343158866	1.2462165910052028	0.0123035432398555	True
CYP2A7	0.1559790324458245	1.1688016959200629	0.012424880796115	True
