probe	gene	location	loc_category
cg00000292	ATP2A1	1stExon	Promoter
cg00003994	MEOX2	1stExon	Promoter
cg00005847	HOXD3	5'UTR	Promoter
cg00007981	PANX1	1stExon	Promoter
cg00008493	KIAA1409;COX8C	Body;5'UTR	Promoter
cg00008713	IMPA2	TSS1500	Promoter
cg00009407	TTC8	TSS200	Promoter
cg00011459	PMM2;TMEM186	Body;TSS1500	Promoter
cg00012199	ANG;RNASE4	TSS1500	Promoter
cg00012386	SNAP47;JMJD4	Body;TSS200	Promoter
cg00012792	MUTED	Body	Body
cg00014085	ELMOD3;RETSAT	TSS1500;1stExon	Promoter
cg00015770	QRFPR	1stExon;5'UTR	Promoter
cg00016968	RHOC	TSS1500	Promoter
cg00019495	HOPX	1stExon;5'UTR	Promoter
cg00020533	TULP1	TSS1500	Promoter
cg00021527	TAF15	TSS1500	Promoter
cg00022866	CCDC88B	Body	Body
cg00024396	ELOVL5	TSS200	Promoter
cg00024812	CPSF3;ITGB1BP1	Body;TSS1500	Promoter
cg00025138	MAP3K9	TSS200	Promoter
cg00025991	DIP2C	TSS1500	Promoter
cg00027083	EPB41L3	5'UTR	Promoter
cg00029826	CCNB1IP1	TSS200	Promoter
cg00029931	RPL36A	TSS1500	Promoter
cg00030047	RNF207	Body	Body
cg00031162	TNFSF12;TNFSF12-TNFSF13	Body	Body
cg00032227	NAT9;TMEM104	TSS200	Promoter
cg00033516	FLJ13197;KLF3	TSS1500;5'UTR	Promoter
cg00033773	C19orf56;MORG1	Body;TSS1500;5'UTR	Promoter
cg00034039	C9orf85;FAM108B1	TSS200	Promoter
cg00035623	UBE2S	TSS1500	Promoter
cg00037763	SETBP1	Body	Body
cg00037940	PIK3CB	TSS1500	Promoter
cg00040861	SPPL2B;LSM7	Body;TSS1500	Promoter
cg00040873	NDUFB10	TSS1500	Promoter
cg00043004	NOXO1	Body	Body
cg00044245	EPHA7	Body	Body
cg00047050	CUL5	1stExon;5'UTR	Promoter
cg00047469	C9orf43;POLE3	Body;TSS1500	Promoter
cg00050312	PRKCA	1stExon	Promoter
cg00051979	C10orf4	1stExon;5'UTR	Promoter
cg00053292	TACO1	1stExon;5'UTR	Promoter
cg00053647	C7orf28B	TSS1500	Promoter
cg00054706	C1D	5'UTR	Promoter
cg00055233	RLN1	1stExon	Promoter
cg00056767	C13orf31;CCDC122	TSS1500;5'UTR	Promoter
cg00059225	GLRA1	1stExon;5'UTR	Promoter
cg00059424	PES1	TSS1500	Promoter
cg00059740	C7orf49	TSS200	Promoter
cg00059930	RB1	Body	Body
cg00060762	LEO1	TSS200	Promoter
